CODIGO_UF,ESTADO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,FERNANDO HADDAD,JAIR BOLSONARO,VOTOS_NOMINAIS,QT_VOTOS_BRANCOS,QT_VOTOS_NULOS,capital,codigo_ibge
11,Rondônia,RO,00019,GUAJARÁ-MIRIM,5844,12838,18682,276,966,0,1100106
11,Rondônia,RO,00035,PORTO VELHO,74847,166145,240992,4451,14350,1,1100205
11,Rondônia,RO,00051,JI-PARANÁ,14174,48520,62694,931,3026,0,1100122
11,Rondônia,RO,00078,ARIQUEMES,8862,37325,46187,754,2041,0,1100023
11,Rondônia,RO,00094,CACOAL,10091,35962,46053,848,2024,0,1100049
11,Rondônia,RO,00116,PIMENTA BUENO,4284,15045,19329,345,1036,0,1100189
11,Rondônia,RO,00132,VILHENA,8396,36531,44927,834,2333,0,1100304
11,Rondônia,RO,00159,JARU,5627,19879,25506,430,1327,0,1100114
11,Rondônia,RO,00175,OURO PRETO DO OESTE,4696,13779,18475,263,941,0,1100155
11,Rondônia,RO,00191,PRESIDENTE MÉDICI,2978,7768,10746,216,639,0,1100254
11,Rondônia,RO,00213,COSTA MARQUES,2329,3320,5649,63,262,0,1100080
11,Rondônia,RO,00230,COLORADO DO OESTE,2441,6932,9373,169,542,0,1100064
11,Rondônia,RO,00256,ESPIGÃO DO OESTE,4593,12536,17129,316,891,0,1100098
11,Rondônia,RO,00272,CEREJEIRAS,1745,7656,9401,121,412,0,1100056
11,Rondônia,RO,00299,ROLIM DE MOURA,6779,21429,28208,539,1628,0,1100288
11,Rondônia,RO,00310,ALTA FLORESTA D OESTE,3763,8524,12287,169,626,0,1100015
11,Rondônia,RO,00337,ALVORADA DO OESTE,2817,4729,7546,124,463,0,1100346
11,Rondônia,RO,00353,SANTA LUZIA D OESTE,1632,3053,4685,90,341,0,1100296
11,Rondônia,RO,00370,NOVA BRASILÂNDIA D OESTE,2790,6723,9513,158,518,0,1100148
11,Rondônia,RO,00396,MACHADINHO D OESTE,4633,9513,14146,227,656,0,1100130
11,Rondônia,RO,00418,SÃO MIGUEL DO GUAPORÉ,3616,7386,11002,190,608,0,1100320
11,Rondônia,RO,00434,NOVA MAMORÉ,2795,8634,11429,128,489,0,1100338
11,Rondônia,RO,00450,CABIXI,1110,2142,3252,56,195,0,1100031
11,Rondônia,RO,00477,CANDEIAS DO JAMARI,4507,7104,11611,169,620,0,1100809
11,Rondônia,RO,00493,ITAPUÃ DO OESTE,1534,2556,4090,68,235,0,1101104
11,Rondônia,RO,00515,NOVO HORIZONTE DO OESTE,1995,3152,5147,80,337,0,1100502
11,Rondônia,RO,00531,CASTANHEIRAS,875,1250,2125,29,97,0,1100908
11,Rondônia,RO,00558,VALE DO PARAÍSO,1407,2615,4022,57,232,0,1101807
11,Rondônia,RO,00566,URUPÁ,2051,3985,6036,99,315,0,1101708
11,Rondônia,RO,00574,MIRANTE DA SERRA,2158,3543,5701,95,299,0,1101302
11,Rondônia,RO,00582,SERINGUEIRAS,2252,3832,6084,96,319,0,1101500
11,Rondônia,RO,00590,THEOBROMA,1759,3441,5200,71,266,0,1101609
11,Rondônia,RO,00604,MINISTRO ANDREAZZA,1518,2840,4358,57,235,0,1101203
11,Rondônia,RO,00612,GOVERNADOR JORGE TEIXEIRA,1462,3098,4560,74,232,0,1101005
11,Rondônia,RO,00620,CACAULÂNDIA,694,1967,2661,30,176,0,1100601
11,Rondônia,RO,00639,ALTO PARAÍSO,2257,5701,7958,114,379,0,1100403
11,Rondônia,RO,00647,RIO CRESPO,539,1446,1985,25,85,0,1100262
11,Rondônia,RO,00655,CORUMBIARA,1613,2585,4198,55,241,0,1100072
11,Rondônia,RO,00663,MONTE NEGRO,1811,4750,6561,79,312,0,1101401
11,Rondônia,RO,00671,CAMPO NOVO DE RONDÔNIA,1789,3595,5384,68,289,0,1100700
11,Rondônia,RO,00680,CUJUBIM,1775,4975,6750,87,335,0,1100940
11,Rondônia,RO,00698,VALE DO ANARI,1309,2732,4041,49,204,0,1101757
11,Rondônia,RO,00701,PARECIS,912,1301,2213,33,122,0,1101450
11,Rondônia,RO,00710,SÃO FELIPE D OESTE,964,2282,3246,76,217,0,1101484
11,Rondônia,RO,00728,PRIMAVERA DE RONDÔNIA,529,1423,1952,24,132,0,1101476
11,Rondônia,RO,00736,ALTO ALEGRE DOS PARECIS,2244,3790,6034,105,426,0,1100379
11,Rondônia,RO,00744,NOVA UNIÃO,1697,2106,3803,46,183,0,1101435
11,Rondônia,RO,00752,TEIXEIRÓPOLIS,996,1810,2806,49,130,0,1101559
11,Rondônia,RO,00779,BURITIS,3417,11682,15099,199,709,0,1100452
11,Rondônia,RO,00787,PIMENTEIRAS DO OESTE,428,847,1275,19,49,0,1101468
11,Rondônia,RO,00795,SÃO FRANCISCO DO GUAPORÉ,2505,5134,7639,113,321,0,1101492
11,Rondônia,RO,00809,CHUPINGUAIA,1504,3057,4561,92,243,0,1100924
12,Acre ,AC,01007,BUJARI,1274,4676,5950,104,145,0,1200138
12,Acre ,AC,01015,CAPIXABA,1086,3895,4981,66,86,0,1200179
12,Acre ,AC,01023,PORTO ACRE,2059,7150,9209,115,212,0,1200807
12,Acre ,AC,01031,SANTA ROSA DO PURUS,975,847,1822,25,77,0,1200435
12,Acre ,AC,01040,MARECHAL THAUMATURGO,2451,2548,4999,58,147,0,1200351
12,Acre ,AC,01058,BRASILÉIA,3208,8711,11919,142,256,0,1200104
12,Acre ,AC,01066,PORTO WALTER,1208,1897,3105,37,69,0,1200393
12,Acre ,AC,01074,CRUZEIRO DO SUL,7818,31147,38965,720,1127,0,1200203
12,Acre ,AC,01082,RODRIGUES ALVES,1682,4762,6444,108,145,0,1200427
12,Acre ,AC,01090,MÂNCIO LIMA,2334,5225,7559,115,184,0,1200336
12,Acre ,AC,01104,JORDÃO,1415,1375,2790,14,62,0,1200328
12,Acre ,AC,01112,EPITACIOLÂNDIA,2026,6284,8310,120,166,0,1200252
12,Acre ,AC,01120,ACRELÂNDIA,1300,5165,6465,65,167,0,1200013
12,Acre ,AC,01139,FEIJÓ,5256,6296,11552,149,285,0,1200302
12,Acre ,AC,01392,RIO BRANCO,32937,158264,191201,3799,5868,1,1200401
12,Acre ,AC,01457,SENA MADUREIRA,3711,12051,15762,222,308,0,1200500
12,Acre ,AC,01473,TARAUACÁ,5267,8292,13559,167,368,0,1200609
12,Acre ,AC,01490,XAPURI,3400,4929,8329,100,208,0,1200708
12,Acre ,AC,01511,PLÁCIDO DE CASTRO,1837,6531,8368,144,226,0,1200385
12,Acre ,AC,01538,SENADOR GUIOMARD,2452,10247,12699,225,305,0,1200450
12,Acre ,AC,01554,MANOEL URBANO,1621,2274,3895,57,146,0,1200344
12,Acre ,AC,01570,ASSIS BRASIL,1660,2333,3993,42,102,0,1200054
13,Amazonas,AM,02003,APUÍ,3046,3218,6264,91,362,0,1300144
13,Amazonas,AM,02011,NOVO AIRÃO,4289,3033,7322,68,499,0,1303205
13,Amazonas,AM,02020,GUAJARÁ,2782,2836,5618,88,414,0,1301654
13,Amazonas,AM,02038,ANORI,3681,2253,5934,64,333,0,1300102
13,Amazonas,AM,02046,CAREIRO DA VÁRZEA,7239,2795,10034,117,607,0,1301159
13,Amazonas,AM,02054,ATALAIA DO NORTE,4020,851,4871,27,266,0,1300201
13,Amazonas,AM,02070,AUTAZES,12407,4509,16916,153,1017,0,1300300
13,Amazonas,AM,02097,BARCELOS,3608,1913,5521,58,318,0,1300409
13,Amazonas,AM,02119,BARREIRINHA,11611,1036,12647,75,608,0,1300508
13,Amazonas,AM,02135,BENJAMIN CONSTANT,12275,2026,14301,94,845,0,1300607
13,Amazonas,AM,02151,BOCA DO ACRE,6782,6129,12911,202,1091,0,1300706
13,Amazonas,AM,02178,BORBA,10727,2238,12965,86,696,0,1300805
13,Amazonas,AM,02194,CANUTAMA,3359,1691,5050,51,312,0,1300904
13,Amazonas,AM,02216,CARAUARI,9617,2370,11987,147,609,0,1301001
13,Amazonas,AM,02232,CAREIRO,9464,4160,13624,168,970,0,1301100
13,Amazonas,AM,02259,COARI,21399,9690,31089,342,2073,0,1301209
13,Amazonas,AM,02275,CODAJÁS,5455,3044,8499,51,408,0,1301308
13,Amazonas,AM,02291,EIRUNEPÉ,8836,3137,11973,175,970,0,1301407
13,Amazonas,AM,02313,ENVIRA,4870,1405,6275,126,469,0,1301506
13,Amazonas,AM,02330,FONTE BOA,7837,1645,9482,73,485,0,1301605
13,Amazonas,AM,02356,HUMAITÁ,10398,7609,18007,201,972,0,1301704
13,Amazonas,AM,02372,SANTA ISABEL DO RIO NEGRO,2637,1430,4067,28,234,0,1303601
13,Amazonas,AM,02399,IPIXUNA,5055,1312,6367,108,503,0,1301803
13,Amazonas,AM,02410,ITACOATIARA,29226,15412,44638,507,2477,0,1301902
13,Amazonas,AM,02437,ITAPIRANGA,2843,1831,4674,46,187,0,1302009
13,Amazonas,AM,02453,JAPURÁ,1912,648,2560,32,125,0,1302108
13,Amazonas,AM,02470,JURUÁ,2829,1185,4014,54,375,0,1302207
13,Amazonas,AM,02496,JUTAÍ,6049,1373,7422,65,563,0,1302306
13,Amazonas,AM,02518,LÁBREA,11291,3633,14924,152,984,0,1302405
13,Amazonas,AM,02534,MANACAPURU,27255,17778,45033,553,2915,0,1302504
13,Amazonas,AM,02550,MANAUS,358364,686999,1045363,22114,76811,1,1302603
13,Amazonas,AM,02577,MANICORÉ,12543,5016,17559,149,816,0,1302702
13,Amazonas,AM,02593,MARAÃ,4114,835,4949,28,266,0,1302801
13,Amazonas,AM,02615,MAUÉS,16543,3080,19623,123,890,0,1302900
13,Amazonas,AM,02631,NHAMUNDÁ,7447,1280,8727,41,308,0,1303007
13,Amazonas,AM,02658,NOVA OLINDA DO NORTE,8303,2016,10319,120,653,0,1303106
13,Amazonas,AM,02674,NOVO ARIPUANÃ,5923,1383,7306,66,434,0,1303304
13,Amazonas,AM,02690,PARINTINS,38970,8266,47236,492,1992,0,1303403
13,Amazonas,AM,02712,PAUINI,4437,1593,6030,40,403,0,1303502
13,Amazonas,AM,02739,SANTO ANTÔNIO DO IÇÁ,7998,1662,9660,72,654,0,1303700
13,Amazonas,AM,02755,SÃO PAULO DE OLIVENÇA,10907,1535,12442,96,804,0,1303908
13,Amazonas,AM,02771,SILVES,3966,784,4750,23,220,0,1304005
13,Amazonas,AM,02798,TAPAUÁ,5288,2457,7745,73,376,0,1304104
13,Amazonas,AM,02810,TEFÉ,18878,8159,27037,284,1531,0,1304203
13,Amazonas,AM,02836,SÃO GABRIEL DA CACHOEIRA,13369,3864,17233,89,678,0,1303809
13,Amazonas,AM,02852,URUCARÁ,5785,1547,7332,69,318,0,1304302
13,Amazonas,AM,02879,URUCURITUBA,6256,1466,7722,59,258,0,1304401
13,Amazonas,AM,02895,ALVARÃES,5295,1380,6675,37,319,0,1300029
13,Amazonas,AM,02917,AMATURÁ,3400,846,4246,32,335,0,1300060
13,Amazonas,AM,02933,ANAMÃ,4077,1771,5848,51,297,0,1300086
13,Amazonas,AM,02950,BERURI,5670,1831,7501,72,410,0,1300631
13,Amazonas,AM,02976,BOA VISTA DO RAMOS,6666,808,7474,48,301,0,1300680
13,Amazonas,AM,02992,CAAPIRANGA,3449,1387,4836,35,296,0,1300839
13,Amazonas,AM,98353,IRANDUBA,14447,8757,23204,304,1659,0,1301852
13,Amazonas,AM,98370,ITAMARATI,3497,691,4188,51,270,0,1301951
13,Amazonas,AM,98396,MANAQUIRI,6076,1744,7820,98,550,0,1302553
13,Amazonas,AM,98418,PRESIDENTE FIGUEIREDO,8669,6337,15006,206,949,0,1303536
13,Amazonas,AM,98434,RIO PRETO DA EVA,5368,4751,10119,113,676,0,1303569
13,Amazonas,AM,98450,SÃO SEBASTIÃO DO UATUMÃ,2430,1803,4233,65,273,0,1303957
13,Amazonas,AM,98477,TABATINGA,15809,7061,22870,227,1620,0,1304062
13,Amazonas,AM,98493,UARINI,3692,1089,4781,46,294,0,1304260
13,Amazonas,AM,98515,TONANTINS,5410,1013,6423,28,332,0,1304237
14,Roraima ,RR,03000,CAROEBE,1296,3120,4416,57,224,0,1400233
14,Roraima ,RR,03018,BOA VISTA,36021,132361,168382,2865,6849,1,1400100
14,Roraima ,RR,03026,IRACEMA,1450,2234,3684,24,219,0,1400282
14,Roraima ,RR,03034,CARACARAÍ,3248,5631,8879,88,401,0,1400209
14,Roraima ,RR,03042,AMAJARI,1844,2648,4492,39,154,0,1400027
14,Roraima ,RR,03050,ALTO ALEGRE,2877,4354,7231,68,341,0,1400050
14,Roraima ,RR,03069,CANTÁ,3556,4991,8547,109,381,0,1400175
14,Roraima ,RR,03077,BONFIM,2797,3778,6575,59,272,0,1400159
14,Roraima ,RR,03085,RORAINÓPOLIS,4455,8597,13052,131,592,0,1400472
14,Roraima ,RR,03093,MUCAJAÍ,2641,5715,8356,83,455,0,1400308
14,Roraima ,RR,03107,UIRAMUTÃ,3643,887,4530,17,220,0,1400704
14,Roraima ,RR,03115,NORMANDIA,3594,1833,5427,35,179,0,1400407
14,Roraima ,RR,03123,PACARAIMA,3028,2841,5869,44,216,0,1400456
14,Roraima ,RR,03131,SÃO JOÃO DA BALIZA,1217,2048,3265,45,148,0,1400506
14,Roraima ,RR,03158,SÃO LUIZ,1205,2230,3435,36,160,0,1400605
15,Pará ,PA,04006,GOIANÉSIA DO PARÁ,8242,4648,12890,172,874,0,1503093
15,Pará ,PA,04014,ABAETETUBA,61646,19896,81542,1120,4994,0,1500107
15,Pará ,PA,04022,TAILÂNDIA,16910,13392,30302,384,2178,0,1507953
15,Pará ,PA,04030,ACARÁ,22544,7548,30092,393,2579,0,1500206
15,Pará ,PA,04049,BOM JESUS DO TOCANTINS,4105,3058,7163,76,617,0,1501576
15,Pará ,PA,04057,AFUÁ,11169,5684,16853,166,951,0,1500305
15,Pará ,PA,04065,SÃO JOÃO DE PIRABAS,7397,3227,10624,131,886,0,1507474
15,Pará ,PA,04073,ALENQUER,14397,12988,27385,255,1847,0,1500404
15,Pará ,PA,04081,TUCUMÃ,6298,10585,16883,167,945,0,1508084
15,Pará ,PA,04090,ALMEIRIM,10213,3882,14095,145,779,0,1500503
15,Pará ,PA,04103,MÃE DO RIO,8853,7101,15954,200,1301,0,1504059
15,Pará ,PA,04111,ALTAMIRA,19466,33549,53015,861,3914,0,1500602
15,Pará ,PA,04120,ELDORADO DOS CARAJÁS,6733,4937,11670,165,958,0,1502954
15,Pará ,PA,04138,ANAJÁS,6951,4300,11251,71,924,0,1500701
15,Pará ,PA,04146,SANTA LUZIA DO PARÁ,7632,2684,10316,127,788,0,1506559
15,Pará ,PA,04154,ANANINDEUA,109713,132590,242303,5188,21935,0,1500800
15,Pará ,PA,04162,PALESTINA DO PARÁ,2385,1485,3870,40,316,0,1505494
15,Pará ,PA,04170,AUGUSTO CORRÊA,17073,5673,22746,257,2072,0,1500909
15,Pará ,PA,04189,IPIXUNA DO PARÁ,8214,3962,12176,164,924,0,1503457
15,Pará ,PA,04197,AVEIRO,4000,1926,5926,55,321,0,1501006
15,Pará ,PA,04200,JACAREACANGA,4370,1419,5789,50,418,0,1503754
15,Pará ,PA,04219,BAGRE,6342,1430,7772,53,422,0,1501105
15,Pará ,PA,04227,BRASIL NOVO,4132,6726,10858,150,730,0,1501725
15,Pará ,PA,04235,BAIÃO,12183,4044,16227,226,1043,0,1501204
15,Pará ,PA,04243,SANTA BÁRBARA DO PARÁ,7364,5175,12539,219,1177,0,1506351
15,Pará ,PA,04251,BARCARENA,41225,20998,62223,988,4714,0,1501303
15,Pará ,PA,04260,ÁGUA AZUL DO NORTE,2743,3065,5808,62,411,0,1500347
15,Pará ,PA,04278,BELÉM,351193,427982,779175,17588,72838,1,1501402
15,Pará ,PA,04286,TRAIRÃO,2456,3815,6271,78,335,0,1508050
15,Pará ,PA,04294,BENEVIDES,16177,13337,29514,471,2179,0,1501501
15,Pará ,PA,04308,PAU D ARCO,2046,2033,4079,52,226,0,1505551
15,Pará ,PA,04316,BONITO,6275,1816,8091,106,725,0,1501600
15,Pará ,PA,04324,ULIANÓPOLIS,6348,4642,10990,122,659,0,1508126
15,Pará ,PA,04332,BRAGANÇA,36553,21245,57798,664,4823,0,1501709
15,Pará ,PA,04340,AURORA DO PARÁ,8146,3357,11503,103,895,0,1500958
15,Pará ,PA,04359,BREVES,25035,12011,37046,357,2384,0,1501808
15,Pará ,PA,04367,TERRA SANTA,5303,3753,9056,104,354,0,1507979
15,Pará ,PA,04375,BUJARU,10347,3404,13751,173,989,0,1501907
15,Pará ,PA,04383,NOVO PROGRESSO,2638,9454,12092,145,545,0,1505031
15,Pará ,PA,04391,CACHOEIRA DO ARARI,9055,1908,10963,94,725,0,1502004
15,Pará ,PA,04405,VITÓRIA DO XINGU,4540,4272,8812,91,639,0,1508357
15,Pará ,PA,04413,CAMETÁ,49947,15959,65906,710,3370,0,1502103
15,Pará ,PA,04421,NOVO REPARTIMENTO,12573,11506,24079,302,1799,0,1505064
15,Pará ,PA,04430,CAPANEMA,20189,15253,35442,639,3208,0,1502202
15,Pará ,PA,04448,BREU BRANCO,11310,7772,19082,209,1419,0,1501782
15,Pará ,PA,04456,CAPITÃO POÇO,17366,9979,27345,351,2261,0,1502301
15,Pará ,PA,04464,SÃO DOMINGOS DO ARAGUAIA,5976,3701,9677,119,784,0,1507151
15,Pará ,PA,04472,CASTANHAL,42925,52067,94992,1575,9220,0,1502400
15,Pará ,PA,04480,NOVA ESPERANÇA DO PIRIÁ,5574,3639,9213,129,678,0,1504950
15,Pará ,PA,04499,CHAVES,6408,1968,8376,76,619,0,1502509
15,Pará ,PA,04502,ABEL FIGUEIREDO,2491,1371,3862,35,299,0,1500131
15,Pará ,PA,04510,COLARES,4871,1480,6351,98,556,0,1502608
15,Pará ,PA,04529,CUMARU DO NORTE,1878,1724,3602,33,262,0,1502764
